DataSet;Project;Package;Class;Method;Smell;Multiclass;Severity;ATFD_method;FDP_method;MAXNESTING_method;LOC_method;CYCLO_method;NOLV_method;NOAV_method;FANOUT_method;CFNAMM_method;ATLD_method;CINT_method;CDISP_method;AMW_type;ATFD_type;CFNAMM_type;DIT_type;FANOUT_type;LCOM5_type;LOCNAMM_type;LOC_package;LOC_type;NIM_type;NOA_type;NOCS_package;NOCS_project;NOMNAMM_project;NOMNAMM_type;NOM_project;RFC_type;TCC_type;WMCNAMM_type;WMC_type;WOC_type;NOM_type;AMWNAMM_type;NOCS_type;NOM_package;NOMNAMM_package;LOCNAMM_package;LOC_project;LOCNAMM_project;NOAM_type;NOP_method;MaMCL_method;MeMCL_method;CLNAMM_method;num_not_final_not_static_attributes;number_private_visibility_attributes
long_method;Core2D;Core2D.Editor;StyleEditor;OnCopyEndArrowStyle();0;0;0;0;2;1;10;2;2;2;1;1;8;1;1;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;0;2;2;0;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;OnPasteStroke();0;0;0;0;2;1;19;3;5;7;2;3;24;2;1;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;0;2;2;1;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;OnStyleSetEndArrowRadiusX(string radius);0;0;0;0;2;1;17;3;3;5;2;3;24;2;1;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;1;2;2;1;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;OnStyleSetEndArrowRadiusY(string radius);0;0;0;0;2;1;17;3;3;5;2;3;24;2;1;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;1;2;2;1;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;OnStyleSetLineCap(string lineCap);0;0;0;0;2;1;17;3;3;5;2;3;24;2;1;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;1;2;2;1;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;OnStyleSetTextVAlignment(string alignment);0;0;0;0;2;1;15;3;3;5;1;2;22;1;1;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;1;2;2;1;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;SetDashes(BaseShape shape, string value, IHistory history);0;0;0;0;3;1;11;2;7;7;0;0;11;0;0;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;3;0;0;0;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;SetEndArrowRadiusY(BaseShape shape, double value, IHistory history);0;0;0;0;4;1;13;2;8;8;0;0;14;0;0;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;3;0;0;0;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;SetStartArrowRadiusY(BaseShape shape, double value, IHistory history);0;0;0;0;4;1;13;2;8;8;0;0;14;0;0;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;3;0;0;0;6;8
long_method;Core2D;Core2D.Editor;StyleEditor;SetTextHAlignment(BaseShape shape, TextHAlignment value, IHistory history);0;0;0;0;3;1;13;2;8;8;0;0;14;0;0;2.480769230769231;8;76;1;51;0.8725490196078431;68;8465;801;52;8;17;310;1298;21;1786;71;0.9375;129;129;0.6153846153846154;52;6.142857142857143;0;466;373;925;33838;5988;0;3;0;0;0;6;8
long_method;Core2D;Core2D.Editor.Bounds;HitTest;TryToGetPoint(IEnumerable<BaseShape> shapes, Point2 target, double radius, double scale);0;0;0;0;0;2;12;3;5;5;0;0;7;0;0;2;0;0;1;0;0;15;140;77;8;0;2;310;1298;8;1786;8;0;16;16;1;8;2;0;14;14;26;33838;5988;0;4;0;0;0;0;0
long_method;Core2D;Core2D.Editor.Bounds;HitTestHelper;Inflate(ref Rect2 rect, double scale);0;0;0;0;0;0;7;1;5;5;0;0;5;0;0;1.6666666666666667;0;4;1;0;0;11;140;63;0;0;2;310;1298;6;1786;6;0;10;10;1;6;1.6666666666666667;0;14;14;26;33838;5988;0;2;0;0;0;0;0
long_method;Core2D;Core2D.Editor.Bounds;HitTestHelper;Overlap(IEnumerable<PointShape> points, Vector2[] selection, double scale);0;0;0;0;0;0;6;1;4;10;0;1;16;0;0;1.6666666666666667;0;4;1;0;0;11;140;63;0;0;2;310;1298;6;1786;6;0;10;10;1;6;1.6666666666666667;0;14;14;26;33838;5988;0;3;0;0;2;0;0
long_method;Core2D;Core2D.Editor.Bounds.Shapes;BoundsGroup;TryToGetPoint(BaseShape shape, Point2 target, double radius,double scale, IDictionary<Type, IBounds> registered);0;0;0;0;1;2;19;4;6;6;0;0;11;0;0;4.666666666666667;2;0;1;0;0;7;812;66;3;0;11;310;1298;3;1786;3;0;14;14;1;3;4.666666666666667;0;34;27;83;33838;5988;0;5;3;2.5;0;0;0
long_method;Core2D;Core2D.Editor.Bounds.Shapes;BoundsImage;Contains(BaseShape shape, Point2 target, double radius, double scale, IDictionary<Type, IBounds> registered);0;0;0;1;5;1;22;4;6;6;0;0;15;0;0;4;2;0;1;0;0;7;812;72;3;0;11;310;1298;3;1786;3;0;12;12;1;3;4;0;34;27;83;33838;5988;0;5;4;2.4;0;0;0
long_method;Core2D;Core2D.Editor.Bounds.Shapes;BoundsQuadraticBezier;Overlaps(BaseShape shape, Rect2 target, double radius, double scale, IDictionary<Type, IBounds> registered);0;0;0;1;3;1;19;4;5;5;0;0;11;0;0;4.333333333333333;3;0;1;0;0;8;812;72;3;1;11;310;1298;1;1786;3;0.3333333333333333;13;13;1;3;13;0;34;27;83;33838;5988;0;5;4;2.4;0;1;1
long_method;Core2D;Core2D.Editor.Bounds.Shapes;BoundsRectangle;TryToGetPoint(BaseShape shape, Point2 target, double radius, double scale, IDictionary<Type, IBounds> registered);0;0;0;0;1;1;21;4;6;6;0;0;11;0;0;4;2;0;1;0;0;7;812;72;3;0;11;310;1298;3;1786;3;0;12;12;1;3;4;0;34;27;83;33838;5988;0;5;2;2;0;0;0
long_method;Core2D;Core2D.Editor.Factories;ContainerFactory;CreateDefaultTemplate(IContainerFactory containerFactory, ProjectContainer project, string name);0;0;0;0;1;0;18;1;5;5;3;3;20;3;1;1;1;25;1;16;0;15;488;127;6;1;2;310;1298;0;1786;22;1;6;6;0;6;0;0;25;0;43;33838;5988;0;3;2;2;0;0;1
large_class;Core2D;Core2D.Editor.Tools;ToolArc;;1;2;11;0;0;1;3;1;1;1;0;0;0;0;0;4.166666666666667;27;29;1;17;0.6818181818181819;29;2506;296;12;6;12;310;1298;3;1786;40;0.2878787878787879;50;50;1;12;16.666666666666668;0;134;58;337;33838;5988;0;1;0;0;0;5;6
long_method;Core2D;Core2D.Editor.Tools;ToolEllipse;Move(InputArgs args);1;2;5;3;8;3;39;8;2;10;3;6;39;5;0.6;3.090909090909091;21;27;1;15;0.7;30;2506;210;10;7;12;310;1298;5;1786;37;0.24444444444444444;34;34;0.9090909090909091;11;6.8;0;134;58;337;33838;5988;0;1;5;2.6;2;6;7
long_method;Core2D;Core2D.Editor.Tools;ToolImage;Move(InputArgs args);1;1;4;2;7;3;29;7;2;3;3;5;25;5;0.6;3.3;15;25;1;16;0.5833333333333333;25;2506;187;10;4;12;310;1298;4;1786;36;0.24444444444444444;33;33;1;10;8.25;0;134;58;337;33838;5988;0;1;5;2.6;1;3;4
long_method;Core2D;Core2D.Editor.Tools;ToolImage;Reset();1;1;4;3;5;1;26;5;1;1;3;3;16;3;1;3.3;15;25;1;16;0.5833333333333333;25;2506;187;10;4;12;310;1298;4;1786;36;0.24444444444444444;33;33;1;10;8.25;0;134;58;337;33838;5988;0;0;6;3.75;0;3;4
long_method;Core2D;Core2D.Editor.Tools;ToolQuadraticBezier;BeginDown(InputArgs args);0;0;0;6;10;3;77;11;7;11;6;14;62;12;0.5;3.5454545454545454;20;27;1;16;0.6;26;2506;222;11;4;12;310;1298;4;1786;38;0.2545454545454545;39;39;1;11;9.75;0;134;58;337;33838;5988;0;1;6;3.142857142857143;6;3;4
long_method;Core2D;Core2D.Editor.Tools;ToolRectangle;Reset();0;0;0;3;5;1;26;5;1;1;3;3;16;3;1;3;15;25;1;15;0.5833333333333333;25;2506;176;10;4;12;310;1298;4;1786;36;0.24444444444444444;30;30;1;10;7.5;0;134;58;337;33838;5988;0;0;6;3.75;0;3;4
long_method;Core2D;Core2D.Editor.Tools;ToolText;Reset();0;0;0;3;5;1;26;5;1;1;3;3;16;3;1;3;15;25;1;15;0.5833333333333333;25;2506;174;10;4;12;310;1298;4;1786;36;0.24444444444444444;30;30;1;10;7.5;0;134;58;337;33838;5988;0;0;6;3.75;0;3;4
long_method;Core2D;Core2D.Editor.Tools.Path;PathToolArc;ToStateEnd();0;0;0;0;4;0;12;1;1;1;2;3;13;3;0.6666666666666666;2.8;18;28;1;15;0.7301587301587302;29;946;199;10;7;5;310;1298;4;1786;38;0.24444444444444444;28;28;1;10;7;0;52;23;129;33838;5988;0;0;2;2;0;3;7
long_method;Core2D;Core2D.Editor.Tools.Path;PathToolMove;BeginDown(InputArgs args);0;0;0;1;5;1;22;3;5;5;4;7;24;7;0.5714285714285714;1.5555555555555556;4;10;1;6;0.75;22;946;82;9;2;5;310;1298;7;1786;30;0.027777777777777776;14;14;1;9;2;0;52;23;129;33838;5988;0;1;3;2.25;0;0;2
long_method;Core2D;Core2D.Editor.Tools.Selection;ToolCubicBezierSelection;Reset();1;1;4;0;1;1;46;8;0;0;1;1;10;1;1;3.8;14;10;1;8;0.2727272727272727;27;815;156;5;11;10;310;1298;0;1786;9;1;19;19;1;5;0;0;29;0;206;33838;5988;0;0;3;2875;0;7;11
long_method;Core2D;Core2D.Editor.Tools.Selection;ToolEllipseSelection;ToStateBottomRight();0;0;0;0;1;0;8;1;0;0;2;2;7;4;0.5;2.3333333333333335;6;4;1;4;0.08333333333333337;20;815;60;3;6;10;310;1298;0;1786;6;1;7;7;1;3;0;0;29;0;206;33838;5988;0;0;3;2.3333333333333335;0;2;6
long_method;Core2D;Core2D.Editor.Tools.Selection;ToolLineSelection;Move();0;0;0;0;2;1;16;3;0;0;1;1;9;1;1;2.3333333333333335;6;4;1;4;0.08333333333333337;20;815;60;3;6;10;310;1298;0;1786;6;1;7;7;1;3;0;0;29;0;206;33838;5988;0;0;2;2;0;2;6
large_class;Core2D;Core2D.Editor.Tools.Selection;ToolRectangleSelection;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;2.3333333333333335;6;4;1;4;0.08333333333333337;20;815;60;3;6;10;310;1298;0;1786;6;1;7;7;1;3;0;0;29;0;206;33838;5988;0;1;0;0;0;2;6
long_method;Core2D;Core2D.Editor.Tools.Selection;ToolTextSelection;Reset();0;0;0;0;1;1;22;4;0;0;1;1;6;1;1;3;8;5;1;4;0;21;815;79;3;7;10;310;1298;0;1786;7;1;9;9;1;3;0;0;29;0;206;33838;5988;0;0;3;2.75;0;3;7
long_method;Core2D;Core2D.FileWriter.Emf;EmfWriter;MakeMetafileStream(Bitmap bitmap, IEnumerable<BaseShape> shapes, IImageCache ic);1;2;5;1;4;3;45;2;8;8;1;1;18;1;1;2.75;3;6;1;4;0;15;147;147;4;1;1;310;1298;1;1786;7;0.5;11;11;1;4;11;0;4;1;15;33838;5988;0;3;2;2;0;0;1
large_class;Core2D;Core2D.FileWriter.SkiaSharpJpeg;JpegSkiaSharpExporter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;2;0;1;0;0.5;14;90;35;3;2;2;310;1298;2;1786;3;0;3;3;1;3;1.5;0;4;2;26;33838;5988;0;1;0;0;0;0;2
long_method;Core2D;Core2D.FileWriter.SkiaSharpPdf;PdfSkiaSharpExporter;Save(Stream stream, ProjectContainer project);0;0;0;0;1;2;13;3;3;3;1;1;9;1;1;1.75;3;2;1;2;0.22222222222222232;17;114;51;4;3;2;310;1298;0;1786;5;1;7;7;0.75;4;0;0;5;0;29;33838;5988;0;2;2;2;0;0;3
long_method;Core2D;Core2D.FileWriter.SkiaSharpWebp;WebpSkiaSharpWriter;Save(Stream stream, object item, object options);1;1;4;1;5;3;41;6;10;10;3;3;32;4;0.75;6;2;3;1;3;0;12;90;55;1;1;2;310;1298;0;1786;4;0;6;6;1;1;0;0;4;2;26;33838;5988;0;3;2;2;0;0;1
large_class;Core2D;Core2D.FileWriter.SkiaSharpWebp;WebpSkiaSharpWriter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;6;2;3;1;3;0;12;90;55;1;1;2;310;1298;0;1786;4;0;6;6;1;1;0;0;4;2;26;33838;5988;0;1;0;0;0;0;1
long_method;Core2D;Core2D.Layout;BoxLayout;Distribute(IEnumerable<BaseShape> shapes, DistributeMode mode, IHistory history);1;2;5;10;3;2;54;8;19;19;0;0;29;0;0;7.4;72;1;1;1;0;7;251;222;0;0;2;310;1298;5;1786;6;0;37;37;1;5;7.4;0;9;9;13;33838;5988;0;3;3;2.1666666666666665;0;0;0
large_class;Core2D;Core2D.Layout;BoxLayout;;1;2;11;0;0;1;3;1;1;1;0;0;0;0;0;7.4;72;1;1;1;0;7;251;222;0;0;2;310;1298;5;1786;6;0;37;37;1;5;7.4;0;9;9;13;33838;5988;0;1;0;0;0;0;0
large_class;Core2D;Core2D.Modules;AvaloniaModule;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;3;61;61;1;0;1;310;1298;1;1786;1;0;1;1;0;1;1;0;1;1;3;33838;5988;0;1;0;0;0;0;0
long_method;Core2D;Core2D.Path;GeometryContext;ArcTo(PointShape point, PathSize size, double rotationAngle = 0.0, bool isLargeArc = false, SweepDirection sweepDirection = SweepDirection.Clockwise);0;0;0;1;2;0;10;1;6;6;1;1;11;1;1;1;4;5;1;5;0.20000000000000007;19;354;59;6;3;5;310;1298;0;1786;11;1;6;6;1;6;0;0;31;25;109;33838;5988;0;5;3;2.5;0;1;3
long_method;Core2D;Core2D.Path;GeometryContext;CubicBezierTo(PointShape point1, PointShape point2, PointShape point3);0;0;0;0;1;0;8;1;4;4;1;1;9;1;1;1;4;5;1;5;0.20000000000000007;19;354;59;6;3;5;310;1298;0;1786;11;1;6;6;1;6;0;0;31;25;109;33838;5988;0;3;3;2.5;0;1;3
long_method;Core2D;Core2D.Path;PathFigure;Invalidate();0;0;0;0;0;1;11;2;0;0;2;2;5;2;1;2625;3;8;1;6;1;30;354;113;8;3;5;310;1298;8;1786;25;0;21;21;1;8;2625;0;31;25;109;33838;5988;0;0;2;2;0;3;3
large_class;Core2D;Core2D.Path;PathSize;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;2;2;1;2;1;21;354;42;5;2;5;310;1298;5;1786;18;0;5;5;1;5;1;0;31;25;109;33838;5988;0;1;0;0;0;2;2
long_method;Core2D;Core2D.Path.Segments;CubicBezierSegment;IsDirty();0;0;0;0;0;0;10;1;1;1;2;2;6;4;0.5;1;3;4;2;6;1;28;245;66;6;3;4;310;1298;6;1786;31;0;6;6;1;6;1;0;24;24;107;33838;5988;0;0;2;2;0;3;3
large_class;Core2D;Core2D.Path.Segments;CubicBezierSegment;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;3;4;2;6;1;28;245;66;6;3;4;310;1298;6;1786;31;0;6;6;1;6;1;0;24;24;107;33838;5988;0;1;0;0;0;3;3
large_class;Core2D;Core2D.Path.Segments;QuadraticBezierSegment;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;2;4;2;6;1;22;245;55;6;2;4;310;1298;6;1786;31;0;6;6;1;6;1;0;24;24;107;33838;5988;0;1;0;0;0;2;2
long_method;Core2D;Core2D.Renderer;AvaloniaDrawUtil;ToPen(ShapeStyle style, double thickness);0;0;0;3;3;2;26;3;8;9;1;2;20;1;1;1.5;3;3;1;1;0;6;2021;49;0;0;28;310;1298;4;1786;5;0;6;6;1;4;1.5;0;101;77;419;33838;5988;0;2;2;2;1;0;0
long_method;Core2D;Core2D.Renderer;CubicBezierDrawNode;OnDraw(object dc, double zoom);0;0;0;0;2;0;6;3;3;3;0;0;8;0;0;2;2;1;1;1;0;10;2021;27;2;0;28;310;1298;2;1786;21;0;4;4;1;2;2;0;101;77;419;33838;5988;0;2;2;2;0;0;0
large_class;Core2D;Core2D.Renderer;FillDrawNode;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;2;1;1;0;11;2021;44;4;0;28;310;1298;4;1786;23;0;4;4;1;4;1;0;101;77;419;33838;5988;0;1;0;0;0;0;0
long_method;Core2D;Core2D.Renderer;NodeRenderer;DrawLine(object dc, LineShape line);1;1;4;0;3;2;31;5;4;4;5;9;21;12;0.4166666666666667;5.2;5;110;1;62;0.4285714285714287;38;2021;458;15;5;28;310;1298;1;1786;62;0.8571428571428571;78;78;1;15;78;0;101;77;419;33838;5988;0;2;3;2.1666666666666665;0;1;5
long_method;Core2D;Core2D.Renderer;NodeRenderer;Fill(object dc, double x, double y, double width, double height, BaseColor color);1;1;4;0;2;3;32;4;8;8;4;8;28;10;0.4;5.2;5;110;1;62;0.4285714285714287;38;2021;458;15;5;28;310;1298;1;1786;62;0.8571428571428571;78;78;1;15;78;0;101;77;419;33838;5988;0;6;2;2;0;1;5
long_method;Core2D;Core2D.Renderer;PathGeometryConverter;ToStreamGeometry(PathGeometry xpg);1;2;5;2;9;7;69;9;4;4;0;0;36;0;0;2.6;6;6;1;2;0;12;2021;205;0;0;28;310;1298;10;1786;14;0;26;26;1;10;2.6;0;101;77;419;33838;5988;0;1;2;2;0;0;0
large_class;Core2D;Core2D.Renderer;QuadraticBezierDrawNode;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;2;2;1;1;1;0;10;2021;27;2;0;28;310;1298;2;1786;21;0;4;4;1;2;2;0;101;77;419;33838;5988;0;1;0;0;0;0;0
long_method;Core2D;Core2D.Renderer;RectangleDrawNode;OnDraw(object dc, double zoom);0;0;0;0;2;1;14;3;3;3;0;0;8;0;0;2;2;0;1;0;0;11;2021;37;2;0;28;310;1298;2;1786;20;0;4;4;1;2;2;0;101;77;419;33838;5988;0;2;2;2;0;0;0
long_method;Core2D;Core2D.Renderer;ShapeState;NotifyAll();0;0;0;0;0;0;14;1;0;0;1;1;12;11;0.09090909090909091;1;1;3;1;3;0.6;71;2021;141;5;1;28;310;1298;4;1786;19;0.1;6;6;0.8333333333333334;6;1.5;0;101;77;419;33838;5988;0;0;0;0;0;1;1
large_class;Core2D;Core2D.Renderer.Presenters;TemplatePresenter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;2;0;3;1;1;0;3;51;14;1;0;3;310;1298;1;1786;4;0;2;2;1;1;2;0;3;3;9;33838;5988;0;1;0;0;0;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;CubicBezierDrawNode;OnDraw(object dc, double zoom);0;0;0;0;2;1;14;3;3;3;0;0;8;0;0;2;2;1;1;1;0;10;2574;35;2;0;25;310;1298;2;1786;21;0;4;4;1;2;2;0;117;107;253;33838;5988;0;2;2;2;0;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;FillDrawNode;OnDraw(object dc, double zoom);0;0;0;0;1;0;6;1;3;3;0;0;4;0;0;1;0;2;1;1;0;11;2574;44;4;0;25;310;1298;4;1786;23;0;4;4;1;4;1;0;117;107;253;33838;5988;0;2;2;2;0;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;FillDrawNode;UpdateGeometry();0;0;0;0;1;0;7;1;0;0;0;0;8;0;0;1;0;2;1;1;0;11;2574;44;4;0;25;310;1298;4;1786;23;0;4;4;1;4;1;0;117;107;253;33838;5988;0;0;2;2;0;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;PathGeometryConverter;ToSKPath(this TextShape text);0;0;0;0;2;1;25;3;5;5;2;2;15;2;1;3.2222222222222223;8;24;1;8;0;20;2574;495;0;0;25;310;1298;18;1786;27;0;58;58;1;18;3.2222222222222223;0;117;107;253;33838;5988;0;1;2;2;0;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;PointDrawNode;UpdateGeometry();0;0;0;0;2;0;8;1;1;1;0;0;9;0;0;1;0;0;1;0;0;10;2574;31;2;0;25;310;1298;2;1786;20;0;2;2;1;2;1;0;117;107;253;33838;5988;0;0;2;2;0;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;SkiaSharpDrawUtil;ToSKPaintPen(ShapeStyle style, double strokeWidth);1;1;4;0;2;2;25;3;6;8;1;3;26;1;1;2.5555555555555554;16;7;1;1;0;11;2574;197;0;0;25;310;1298;9;1786;10;0;23;23;1;9;2.5555555555555554;0;117;107;253;33838;5988;0;2;2;2;2;0;0
long_method;Core2D;Core2D.Renderer.SkiaSharp;SkiaSharpPathConverter;Simplify(BaseShape shape);0;0;0;1;2;1;20;3;6;6;4;4;20;4;1;4;9;32;1;29;0;18;2574;235;9;1;25;310;1298;1;1786;17;0.7777777777777778;36;36;1;9;36;0;117;107;253;33838;5988;0;1;2;2;0;0;1
large_class;Core2D;Core2D.Renderer.SkiaSharp;SkiaSharpSvgConverter;;1;2;11;0;0;1;3;1;1;1;0;0;0;0;0;5.615384615384615;10;16;1;8;0.9166666666666666;22;2574;604;3;1;25;310;1298;12;1786;23;0;73;73;0.38461538461538464;13;6.083333333333333;0;117;107;253;33838;5988;0;1;0;0;0;0;1
long_method;Core2D;Core2D.Renderer.WinForms;WinFormsRenderer;DrawRectangleInternal(Graphics gfx, Brush brush, Pen pen, bool isStroked, bool isFilled, ref Rect2 rect);0;0;0;0;0;1;22;3;6;6;0;0;6;0;0;3.3333333333333335;13;40;1;6;0.8923076923076924;48;866;781;21;5;2;310;1298;14;1786;46;0.30833333333333335;90;90;0.5925925925925926;27;6.428571428571429;0;28;15;51;33838;5988;0;6;2;2;0;2;5
long_method;Core2D;Core2D.Shapes;ConnectableShape;IsDirty();0;0;0;0;0;1;11;2;1;1;1;1;4;1;1;2.2;1;4;2;4;0.33333333333333337;20;1852;113;10;1;16;310;1298;4;1786;49;0.3333333333333333;22;22;1;10;5.5;0;145;112;508;33838;5988;0;0;2;2;0;1;1
long_method;Core2D;Core2D.Shapes;CubicBezierShape;Bind(DataFlow dataFlow, object db, object r);0;0;0;0;1;0;11;1;4;4;0;0;9;0;0;2.1;9;9;2;9;0.7777777777777778;49;1852;170;10;4;16;310;1298;8;1786;54;0.022222222222222223;21;21;1;10;2625;0;145;112;508;33838;5988;0;3;2;2;0;4;4
long_method;Core2D;Core2D.Shapes;CubicBezierShape;GetPoints(IList<PointShape> points);0;0;0;0;0;0;7;1;1;1;0;0;5;0;0;2.1;9;9;2;9;0.7777777777777778;49;1852;170;10;4;16;310;1298;8;1786;54;0.022222222222222223;21;21;1;10;2625;0;145;112;508;33838;5988;0;1;2;2;0;4;4
long_method;Core2D;Core2D.Shapes;GroupShape;DrawPoints(object dc, IShapeRenderer renderer);0;0;0;1;3;2;12;3;2;2;1;1;9;1;1;2.4545454545454546;5;8;3;8;0.9;36;1852;153;11;2;16;310;1298;10;1786;63;0;27;27;0.9090909090909091;11;2.7;0;145;112;508;33838;5988;0;2;3;2.3333333333333335;0;2;2
large_class;Core2D;Core2D.Shapes;ImageShape;;1;1;10;0;0;1;3;1;1;1;0;0;0;0;0;1.7;6;9;2;9;0.8518518518518519;41;1852;128;10;3;16;310;1298;8;1786;54;0.022222222222222223;17;17;1;10;2125;0;145;112;508;33838;5988;0;1;0;0;0;3;3
long_method;Core2D;Core2D.Shapes;PathShape;DrawPoints(object dc, IShapeRenderer renderer);1;1;4;0;2;4;27;6;2;2;0;1;9;0;0;2;3;12;2;9;0.75;29;1852;152;13;2;16;310;1298;7;1786;57;0.15151515151515152;26;26;0.9230769230769231;13;3.7142857142857144;0;145;112;508;33838;5988;0;2;4;3;2;2;2
long_method;Core2D;Core2D.Shapes;RectangleShape;Invalidate();0;0;0;0;0;0;6;1;0;0;2;2;4;3;0.6666666666666666;1.7;5;9;2;9;0.7777777777777778;33;1852;120;10;2;16;310;1298;8;1786;54;0.022222222222222223;17;17;1;10;2125;0;145;112;508;33838;5988;0;0;2;2;0;2;2
large_class;Core2D;Core2D.Shapes;RectangleShape;;1;1;10;0;0;1;3;1;1;1;0;0;0;0;0;1.7;5;9;2;9;0.7777777777777778;33;1852;120;10;2;16;310;1298;8;1786;54;0.022222222222222223;17;17;1;10;2125;0;145;112;508;33838;5988;0;1;0;0;0;2;2
long_method;Core2D;Core2D.Shapes;TextShape;Invalidate();0;0;0;0;0;0;6;1;0;0;2;2;4;3;0.6666666666666666;1.7;6;9;2;9;0.8518518518518519;41;1852;128;10;3;16;310;1298;8;1786;54;0.022222222222222223;17;17;1;10;2125;0;145;112;508;33838;5988;0;0;2;2;0;3;3
long_method;Core2D;Core2D.Style;ShapeStyle;Invalidate();0;0;0;0;0;0;7;1;0;0;4;4;7;4;1;1;3;11;1;11;1;25;963;58;3;3;10;310;1298;3;1786;25;0;3;3;1;3;1;0;38;37;530;33838;5988;0;0;2;2;0;3;3
long_method;Core2D;Core2D.Style;StyleHelper;ConvertDashesToDoubleArray(string value, double strokeWidth);1;1;4;0;0;3;26;6;6;6;0;0;6;0;0;4.5;0;0;1;0;0;6;963;91;0;0;10;310;1298;4;1786;4;0;18;18;1;4;4.5;0;38;37;530;33838;5988;0;2;2;2;0;0;0
long_method;Core2D;Core2D.SvgExporter.Svg;SvgSvgExporter;ToGeometryDrawing(BaseShape shape, StringBuilder sb, IPathConverter converter);1;2;5;0;9;3;42;11;13;13;3;4;37;6;0.5;7.5;1;6;1;4;0;11;88;88;2;1;1;310;1298;1;1786;7;0;15;15;0.5;2;15;0;2;1;11;33838;5988;0;3;3;2.2;0;0;1
long_method;Core2D;Core2D.TextFieldWriter.OpenXml;OpenXmlWriter;Write(Stream stream, object[,] values, uint nRows, uintnColumns, string sheetName);0;0;0;0;0;0;27;1;11;11;0;0;11;0;0;2;1;4;1;0;1;18;169;169;2;1;1;310;1298;7;1786;7;0;14;14;0.2857142857142857;7;2;0;7;7;18;33838;5988;0;5;4;2.5555555555555554;0;0;1
large_class;Core2D;Core2D.Views;EditorMenuView;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;8;287;12;1;0;13;310;1298;1;1786;1;0;1;1;0;1;1;0;15;14;146;33838;5988;0;1;0;0;0;0;0
large_class;Core2D;Core2D.Views.Containers;DocumentContainerView;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;8;60;12;1;0;5;310;1298;1;1786;1;0;1;1;0;1;1;0;5;5;40;33838;5988;0;1;0;0;0;0;0
